eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
126.71698113207547,-0.05660377358490566,477,1.3181254e-06,0.0,2.944437,-4.4786662e-05,0.0029722601,0.03239285945892334,1,512,17.143188339890912,8192
133.71,-0.04,549,6.0252916e-07,0.0,2.944432,-2.6640395e-05,0.00044094963,-0.10065770149230957,2,1024,32.194822700927034,16384
138.33,0.02,572,3.696926e-07,0.0,2.9444287,-1.4292171e-05,0.0027632785,-0.026754021644592285,3,1536,46.496630953857675,24576
155.94,-0.02,547,6.4146354e-07,0.0,2.9444256,-5.1023788e-05,0.002278958,0.04123497009277344,4,2048,61.44709204486571,32768
136.62,-0.04,547,7.684945e-07,0.0,2.944417,-2.2009452e-05,0.0033062235,0.17407089471817017,5,2560,76.39773851796053,40960
138.37,-0.01,569,4.702961e-07,0.0,2.9444058,-2.001354e-05,0.0012967782,0.3421274423599243,6,3072,90.77186747291125,49152
150.8,-0.01,552,8.2469353e-07,0.0,2.9443986,-4.636567e-05,0.0015027651,0.28197211027145386,7,3584,105.58746178587899,57344
122.57,-0.02,555,8.417947e-07,0.0,2.944389,-2.6681751e-05,0.0012368726,0.23662275075912476,8,4096,120.33003162103705,65536
140.39,-0.04,578,7.042909e-07,0.0,2.9443772,-2.400692e-05,0.002192916,0.21302193403244019,9,4608,134.4934918449726,73728
161.04,-0.02,565,6.5834763e-07,0.0,2.9443638,-1.8244187e-05,0.0014046032,0.17987829446792603,10,5120,148.97472279705107,81920
168.47,0.0,571,8.003417e-07,0.0,2.9443414,-2.4161636e-05,0.0024066519,0.1870175004005432,11,5632,163.32090101600625,90112
134.55,-0.02,538,7.3242643e-07,0.0,2.944338,-3.9165374e-05,0.0017058029,0.22272682189941406,12,6144,178.5363294389099,98304
119.31,0.01,553,1.5320136e-06,0.0,2.9443257,-6.251385e-05,0.0018502522,0.2051212191581726,13,6656,193.32534009194933,106496
134.93,0.01,567,5.0259396e-06,0.0,2.9442444,-4.2563348e-05,0.0025707646,0.22119706869125366,14,7168,207.76258903904818,114688
149.27,0.0,559,8.422888e-06,0.0,2.9441044,-0.0001019043,0.002191719,0.23313486576080322,15,7680,222.39870944595896,122880
152.5,-0.01,567,6.732659e-06,0.0,2.9439108,-6.02929e-05,0.0017676712,0.3379039168357849,16,8192,236.8253885768354,131072
122.78,-0.04,548,4.841948e-06,0.0,2.9439483,-6.602389e-05,0.0020600476,0.33139246702194214,17,8704,251.7700429840479,139264
115.1,-0.03,550,3.9909487e-06,0.0,2.943994,-8.951836e-05,0.0011731497,0.44587117433547974,18,9216,266.65192512003705,147456
123.49,-0.03,552,4.2959105e-06,0.0,2.9441133,-3.8879632e-05,0.0018326958,0.36329185962677,19,9728,281.48943936801516,155648
126.82,0.04,567,1.7336376e-06,0.0,2.9441738,-2.3828528e-05,0.0019850107,0.25288480520248413,20,10240,295.92887339903973,163840
123.61,-0.02,560,1.4833636e-06,0.0,2.9442198,-3.390755e-05,0.0016472806,0.33075445890426636,21,10752,310.5575928988401,172032
133.14,-0.04,548,6.3552574e-07,0.0,2.9442492,-1.8210427e-05,0.0017429674,0.2606891989707947,22,11264,325.5038486949634,180224
130.98,-0.05,566,6.6124744e-07,0.0,2.9442663,-3.1315532e-05,0.0017885574,0.22168004512786865,23,11776,339.9534109409433,188416
153.4,-0.06,550,5.007664e-07,0.0,2.9442854,-4.3362015e-06,0.0016144951,0.23544132709503174,24,12288,354.8426745219622,196608
152.34,-0.03,544,4.3663314e-07,0.0,2.9442787,-2.695353e-05,0.002213299,0.3142293095588684,25,12800,369.8960162498988,204800
131.44,-0.03,553,3.2537146e-06,0.0,2.9442382,-8.788615e-05,0.0015820847,0.38018977642059326,26,13312,384.6978237628937,212992
