eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
163.82051282051282,-0.10256410256410256,380,5.1376037e-06,0.0,2.9444332,-0.00014179884,0.00534158,-0.12427616119384766,1,512,21.524194709025323,8192
169.98765432098764,-0.12345679012345678,430,2.6586674e-06,0.0,2.9444056,-3.2144206e-05,0.004466151,-0.017878413200378418,2,1024,40.69676644005813,16384
159.45,-0.13,416,1.3402891e-06,0.0,2.9443898,-4.685641e-05,0.00466544,0.04089254140853882,3,1536,60.38066350109875,24576
148.04,-0.09,420,1.6189447e-06,0.0,2.944361,-3.589783e-05,0.004508837,0.1866130828857422,4,2048,79.88593676802702,32768
162.08,-0.06,435,1.8457504e-06,0.0,2.9443324,-4.3552893e-05,0.0026302123,0.3193233013153076,5,2560,98.7182494669687,40960
175.99,-0.08,426,1.2842909e-06,0.0,2.9442997,-5.5713084e-05,0.0033297718,0.2911156415939331,6,3072,117.93322045006789,49152
154.18,-0.1,424,1.5801036e-06,0.0,2.9442978,-4.8307964e-05,0.0033359583,0.2806551456451416,7,3584,137.2438127109781,57344
151.42,-0.09,426,1.9415993e-06,0.0,2.9442658,-4.832691e-05,0.0025158967,0.22716927528381348,8,4096,156.43869823100977,65536
159.73,-0.09,429,4.7189296e-06,0.0,2.9442003,-8.4714804e-05,0.0024125322,0.07362312078475952,9,4608,175.5266155290883,73728
168.16,-0.1,434,2.593149e-06,0.0,2.9440913,-4.0260726e-05,0.0030946422,0.1262054443359375,10,5120,194.36922595393844,81920
160.28,-0.13,421,4.743869e-06,0.0,2.9441705,-6.6294684e-05,0.0036007005,0.08181482553482056,11,5632,213.81506003509276,90112
164.75,-0.1,439,1.8106475e-06,0.0,2.9442372,-1.7481696e-05,0.001956969,0.13537776470184326,12,6144,232.44480070797727,98304
