eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
126.10714285714286,0.07857142857142858,504,2.9644925e-06,0.0,2.9444356,-0.0001640876,0.0020889495,0.10788947343826294,1,512,16.234515581047162,8192
122.45,0.03,607,1.6482845e-06,0.0,2.9444199,-4.934697e-05,0.0017198008,0.15721917152404785,2,1024,29.84644871810451,16384
137.19,0.018000000000000002,605,1.7581467e-06,0.0,2.9443994,-9.632113e-05,0.0019998027,0.21786868572235107,3,1536,43.380721539026126,24576
150.38,-0.021,624,2.7033266e-06,0.0,2.944364,-8.835847e-05,0.003277491,0.22500866651535034,4,2048,56.49142002011649,32768
141.89,-0.003999999999999997,624,2.8587942e-06,0.0,2.9443154,-7.1524526e-05,0.0017764872,0.42325812578201294,5,2560,69.61507683317177,40960
139.55,0.031000000000000007,617,4.5532743e-06,0.0,2.9442306,-8.443682e-05,0.0012140392,0.4839887022972107,6,3072,82.87637797603384,49152
143.84,0.044,606,1.0859594e-05,0.0,2.9440906,-0.00021508828,0.0027347466,0.4000172019004822,7,3584,96.37588013918139,57344
141.1,0.04299999999999999,598,9.317887e-05,0.0,2.943496,-0.00071315165,0.00179862,0.5011340975761414,8,4096,110.06375409802422,65536
145.28,0.061,591,0.0006742482,0.030517578,2.9395952,-0.0010987296,0.0031410917,0.4000670313835144,9,4608,123.90459984121844,73728
119.46,0.046000000000000006,588,0.00057216454,0.023986816,2.9337666,-0.001190109,0.003159449,0.4039039611816406,10,5120,137.8217966160737,81920
121.5,0.096,577,0.0010719472,0.049560547,2.9196916,-0.0014858082,0.006674423,0.31872642040252686,11,5632,152.00770323816687,90112
123.53,0.13,607,0.00027770732,0.0,2.920289,-0.00017520308,0.0044197077,0.4621438980102539,12,6144,165.48438020702451,98304
130.31,0.12199999999999997,584,0.0015174462,0.05987549,2.9027393,-0.00091098936,0.004336338,0.26824891567230225,13,6656,179.4891825132072,106496
122.27,0.11299999999999999,561,0.00020821551,0.0,2.9071712,-0.00020953943,0.0061074398,0.3842042088508606,14,7168,194.09139607008547,114688
121.92,0.15600000000000003,582,0.001778377,0.073913574,2.8845482,-0.0020786794,0.0027472859,0.6021548211574554,15,7680,208.1564618141856,122880
118.26,0.18400000000000002,569,0.000979794,0.03656006,2.8873327,-0.0007363372,0.0063781333,0.38818883895874023,16,8192,222.55170760815963,131072
116.61,0.162,564,0.00108362,0.042114258,2.848541,-0.0017286582,0.004833285,0.520472377538681,17,8704,237.0517244799994,139264
111.92,0.32799999999999996,574,0.0011846428,0.040649414,2.842595,-0.0014351343,0.0061633,0.6329335868358612,18,9216,251.32036583311856,147456
126.64,0.29800000000000004,597,0.001700039,0.07531738,2.8288078,-0.0033570463,0.009342526,0.695230096578598,19,9728,265.0411977460608,155648
149.79,0.23499999999999996,601,0.0004242539,0.0,2.8416111,-0.00050371216,0.010414431,0.7009504735469818,20,10240,278.66744665405713,163840
146.38,0.308,598,0.0027220042,0.117248535,2.7881932,-0.0013798736,0.011675323,0.7253569662570953,21,10752,292.3628168620635,172032
149.39,0.37200000000000005,614,0.000497589,0.018432617,2.830161,-0.0012409393,0.009600392,0.6833555996417999,22,11264,305.6915682661347,180224
162.38,0.39299999999999996,602,0.00065175735,0.026245117,2.7808695,-0.001998596,0.009564422,0.7478458881378174,23,11776,319.29369697603397,188416
154.92,0.512,598,0.0012566386,0.061035156,2.7360632,-0.0030360203,0.005344709,0.7489759027957916,24,12288,332.9778799221385,196608
160.57,0.5509999999999999,608,0.006592517,0.23266602,2.6642513,0.005565049,0.0063592466,0.7730598002672195,25,12800,346.4415309079923,204800
183.47,0.585,617,0.0007233823,0.038391113,2.7552547,-0.00035318953,0.004111603,0.8143961876630783,26,13312,359.7009863140993,212992
203.92,0.5579999999999999,614,0.001227841,0.06915283,2.6817584,-0.001611395,0.008507595,0.7549139708280563,27,13824,373.0229172501713,221184
205.02,0.5760000000000001,607,0.00028645387,0.00091552734,2.7051272,-0.00059683505,0.0068417443,0.8133713901042938,28,14336,386.5084878441412,229376
187.63,0.6050000000000001,615,0.0032771032,0.18206787,2.5780034,0.001494601,0.007198237,0.8186822831630707,29,14848,399.8289157010149,237568
197.43,0.6739999999999999,616,0.0010710035,0.05090332,2.6498313,-0.0016796628,0.0056427172,0.8672600090503693,30,15360,413.12182115903124,245760
194.15,0.718,611,0.0014760734,0.07910156,2.5963724,-0.00048543396,0.0072199614,0.8687908798456192,31,15872,426.5214661490172,253952
179.19,0.7510000000000001,611,0.00071201567,0.0051879883,2.598128,-0.0002848391,0.005283907,0.8822641968727112,32,16384,439.92754171509296,262144
162.87,0.746,599,0.002953184,0.14910889,2.4824495,0.0015514088,0.0086700935,0.8292617797851562,33,16896,453.59062300110236,270336
164.13,0.6910000000000001,613,0.0022017278,0.10559082,2.5286283,-0.00079675514,0.0058951764,0.8616343289613724,34,17408,466.9536326630041,278528
164.58,0.7030000000000001,614,0.0007653691,0.011352539,2.6264482,-0.00039138028,0.0058088456,0.843795582652092,35,17920,480.2807972121518,286720
188.75,0.769,617,0.0010765926,0.035827637,2.5822196,-0.0007555053,0.0050887223,0.8557462841272354,36,18432,493.5435796622187,294912
