eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
147.13953488372093,0.43023255813953487,487,1.3609255e-06,0.0,2.9444375,-6.130696e-05,0.0049901833,0.0922955870628357,1,512,16.79243352985941,8192
145.85714285714286,0.46020408163265314,561,1.3195695e-06,0.0,2.9444294,-7.656698e-05,0.006926772,0.28680741786956787,2,1024,31.522381085902452,16384
151.61,0.5060000000000001,553,1.6365987e-06,0.0,2.9444156,-6.846382e-05,0.0072388803,0.4135034680366516,3,1536,46.3127740889322,24576
140.92,0.5660000000000001,553,2.258514e-06,0.0,2.94439,-6.678543e-05,0.011374259,0.3959619998931885,4,2048,61.10274989786558,32768
136.16,0.621,549,3.5259122e-06,0.0,2.9443462,-0.000120623314,0.00901348,0.5411843061447144,5,2560,75.99866523593664,40960
134.12,0.666,563,8.839086e-06,0.0,2.944232,-0.00014864636,0.00840497,0.5635269284248352,6,3072,90.53724991786294,49152
152.99,0.665,562,8.260203e-06,0.0,2.9440694,-4.3648542e-05,0.00909789,0.5553742349147797,7,3584,105.09915583394468,57344
154.18,0.626,552,1.880609e-05,0.0,2.9438496,-0.00027038515,0.007615915,0.6033345460891724,8,4096,119.92330756084993,65536
136.52,0.6220000000000001,545,4.575962e-05,0.0,2.9433167,-0.00031341956,0.007096362,0.6504111886024475,9,4608,134.95495706796646,73728
123.32,0.6030000000000001,529,0.00020424694,0.0,2.9415944,-0.00072573137,0.00893339,0.5170881450176239,10,5120,150.42365017184056,81920
130.28,0.561,541,0.00086781476,0.025634766,2.934994,-0.000731096,0.010150507,0.5868170857429504,11,5632,165.55471932399087,90112
111.16,0.623,526,0.00016442608,0.0,2.9337192,3.0960655e-06,0.011395873,0.6395023465156555,12,6144,181.1048046948854,98304
114.05,0.584,529,8.3272855e-05,0.0,2.935431,-0.00061272574,0.0069232364,0.6694100201129913,13,6656,196.59156369883567,106496
99.99,0.6040000000000001,519,0.0004998788,0.007080078,2.928844,-0.00082549616,0.009383546,0.6866319179534912,14,7168,212.35688578989357,114688
111.11,0.573,544,0.0008460125,0.028381348,2.9175324,-0.0007263666,0.0053287004,0.6658539474010468,15,7680,227.41144952201284,122880
119.99,0.6100000000000001,517,0.00017127625,0.0,2.9136424,-0.0002622663,0.0066992,0.6434332132339478,16,8192,243.2309015300125,131072
107.15,0.606,520,0.0014970449,0.055603027,2.895324,-0.001679892,0.010265485,0.5973909497261047,17,8704,258.95846412098035,139264
87.39,0.639,517,0.0008424041,0.015136719,2.9041386,-0.0009648182,0.010504166,0.5806311070919037,18,9216,274.7757801839616,147456
85.59,0.6559999999999999,513,0.0010787784,0.031311035,2.8996344,-0.0016344278,0.008965568,0.598442792892456,19,9728,290.7259474408347,155648
97.41,0.6629999999999999,533,0.001786346,0.06921387,2.8732731,-0.0014737665,0.009042354,0.6107715666294098,20,10240,306.08476356603205,163840
